5,"01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2005,"4 Year August",64,44,0,27,17,8,9,NULL,-73.9866,40.7134
27,"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2005,"4 Year August",121,70,4,31,35,35,11,NULL,-73.984,40.7123
49,"01M450","EAST SIDE COMMUNITY SCHOOL",2005,"4 Year August",85,62,0,59,3,10,9,NULL,-73.9824,40.7293
71,"01M509","MARTA VALLE SECONDARY SCHOOL",2005,"4 Year August",88,57,18,23,16,12,14,NULL,-73.9861,40.7202
93,"01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",2005,"4 Year August",154,77,46,13,18,57,20,NULL,-73.9862,40.72
109,"01M539","NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,"4 Year August",49,49,39,9,1,0,0,NULL,-73.9796,40.7191
131,"01M650","CASCADES HIGH SCHOOL",2005,"4 Year August",95,34,0,17,17,51,7,NULL,-73.9905,40.7223
153,"01M696","BARD HIGH SCHOOL EARLY COLLEGE",2005,"4 Year August",115,107,0,107,0,7,1,NULL,-73.9761,40.7183
163,"02M047","AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL",2005,"4 Year August",24,11,0,4,7,7,3,NULL,-73.9816,40.7384
176,"02M288","FOOD AND FINANCE HIGH SCHOOL",2005,"4 Year August",79,70,0,53,17,6,2,NULL,-73.993,40.7655
189,"02M294","ESSEX STREET ACADEMY",2005,"4 Year August",70,58,0,56,2,11,0,NULL,-73.9894,40.717
202,"02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",2005,"4 Year August",91,80,6,62,12,5,4,NULL,-73.9933,40.7656
215,"02M298","PACE HIGH SCHOOL",2005,"4 Year August",98,86,13,67,6,9,2,NULL,-73.9935,40.7164
228,"02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION",2005,"4 Year August",79,64,5,55,4,8,3,NULL,-73.9935,40.7657
238,"02M303","FACING HISTORY SCHOOL (THE)",2005,"4 Year August",105,53,0,53,0,29,20,NULL,-73.9929,40.7656
248,"02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW",2005,"4 Year August",70,51,2,39,10,7,9,NULL,-73.9896,40.7171
258,"02M308","LOWER MANHATTAN ARTS ACADEMY",2005,"4 Year August",67,52,2,28,22,7,7,NULL,-73.9895,40.7174
274,"02M313","JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR",2005,"4 Year August",78,35,0,16,19,30,8,NULL,-74.0025,40.7436
284,"02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN",2005,"4 Year August",77,59,6,29,24,10,7,NULL,-74.013,40.7054
294,"02M374","GRAMERCY ARTS HIGH SCHOOL",2005,"4 Year August",68,55,0,14,41,5,4,NULL,-73.9873,40.7356
316,"02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",2005,"4 Year August",344,264,69,138,57,52,15,NULL,-73.9883,40.7679
338,"02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",2005,"4 Year August",58,45,0,0,45,11,1,NULL,-73.9829,40.7326
360,"02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",2005,"4 Year August",100,95,21,59,15,4,1,NULL,-73.9885,40.7614
382,"02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL",2005,"4 Year August",96,96,55,39,2,0,0,NULL,-73.9858,40.7418
404,"02M412","NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES",2005,"4 Year August",133,128,77,41,10,3,2,NULL,-74.0023,40.7424
426,"02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",2005,"4 Year August",84,76,0,76,0,6,2,NULL,-73.9853,40.7391
448,"02M414","NYC MUSEUM SCHOOL",2005,"4 Year August",100,94,27,53,14,6,0,NULL,-74.0025,40.7425
467,"02M416","ELEANOR ROOSEVELT HIGH SCHOOL",2005,"4 Year August",115,114,76,37,1,0,0,NULL,-73.9533,40.7702
486,"02M418","MILLENNIUM HIGH SCHOOL",2005,"4 Year August",123,123,15,92,16,0,0,NULL,-74.0113,40.7047
508,"02M419","LANDMARK HIGH SCHOOL",2005,"4 Year August",98,60,0,0,60,26,7,NULL,-74.0027,40.7437
530,"02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE",2005,"4 Year August",344,269,45,178,46,65,1,NULL,-73.9825,40.7324
552,"02M425","LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL",2005,"4 Year August",143,84,0,26,58,23,27,NULL,-74.0125,40.709
574,"02M429","LEGACY SCHOOL FOR INTEGRATED STUDIES",2005,"4 Year August",93,47,3,15,29,30,10,NULL,-73.9956,40.7366
596,"02M439","MANHATTAN VILLAGE ACADEMY",2005,"4 Year August",74,73,17,50,6,1,0,NULL,-73.992,40.7419
618,"02M440","BAYARD RUSTIN EDUCATIONAL COMPLEX",2005,"4 Year August",400,234,10,79,145,93,55,NULL,-74.0022,40.7431
646,"02M449","VANGUARD HIGH SCHOOL",2005,"4 Year August",76,60,0,56,4,13,0,NULL,-73.9597,40.7654
668,"02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL",2005,"4 Year August",68,41,0,39,2,17,7,NULL,-73.96,40.7655
690,"02M460","WASHINGTON IRVING HIGH SCHOOL",2005,"4 Year August",435,170,5,81,84,85,145,NULL,-73.9874,40.7354
712,"02M475","STUYVESANT HIGH SCHOOL",2005,"4 Year August",781,768,760,8,0,8,4,NULL,-74.0136,40.7179
